Who the fuck demands their partner lose weight by a specific deadline?	You have to ask?
How would you feel if you dated a guy for a *significant* period of time and then have your best friend date him?	I'd feel like a loser, he'd be a loser, he'd be a loser, he'd be a loser, he'd be a loser
How would I tell my family?	How would I tell my family?
What ideology did you assume I was?	The best one!
Who cares what you friends think?	I don't care what you friends think.
How is your relationship with your mom?	She's a great lady. I'm not too sure what she's doing with her life, but I do love her.
How many times have you bought a game on Steam during a sale and been *completely unable* to download it?	A lot. I've even bought a game twice.
How about the Sjah of Iran, who was a despot and a dictator who ruled with an iron fist, jailed opposition leaders, shut down free press and whose secret service was infamous for its torture techniques?	I'm sure that's what the Russians were thinking too.
What states did Bernie *actually* win, in your opinion?	I have no idea what state he actually won, but I'm pretty sure he won Vermont.
What more are you getting for the additional money than the people who paid $50 for the same show?	I have no idea what I'm getting in terms of a show.
How is the relationship with your parents now?	They are still friends but it is just one of those things that you just don't want to talk about. They are still pretty distant from each other.
How do you both divide up middle of the night feedings and changing?	I just use google sheets.
What if I could prove to you beyond the shadow of a doubt, with tons of evidence that nobody involved has even attempted to defend themselves against, that Hillary and the DNC rigged the 2016 primaries in favor of Hillary Clinton, giving Bernie Sanders no chance to win the nomination?	I'm not sure I understand why that would be a good thing, but whatever you say.
What if you dont have friends or family to turn too, and counselling isnt covered by your medical?	I have a lot of family and friends, so I don't need to go to therapy.
When did being rude and tearing people down become an admirable character trait?	It's a character trait.
How does a person not know the name of their spouses deceased spouse?	I'm not sure, but I would imagine that it's a common name among people living in the same country.
What free content do you think /DRIVE will still have that will be good enough to really get the general public going?	I'm not sure. I think it's probably a good idea to ask the devs.
How about we push X plan off to next saturday instead of tomorrow?	I'm not sure how to push it off. : s
What about researching a market, developing a plan, seeking out investors, building capital, creating a manufacturing process and a supply chain, developing a marketing program, finding a distribution channel and delivering product?	That's a lot of work.
What if you guys have a pregnancy scare?	I'm going to go with no.
How many times have you bought a game on Steam during a sale and been *completely unable* to download it?	I've bought a few games on steam. I have not bought anything on steam.
However, I guess with the lack of promotion/relegation in those sports and leagues are the reason why?	I don't know, but I would guess that they are the reason.
What is your opinion on his position that how a person chooses to spend their money being indistinguishable from speech?	I'm not an economist, I don't really have one, but I think it's a matter of perspective. I would think he should be paid for speaking, not for doing it.
What area of NY do you live in?	I live in the Bronx
How has the EU withstood the financial crisis better that China or the U.S.?	China and the U. S. have been doing just fine.
How do you think the pacers managed to be top 10 in defense last year with so many people missing?	I'm not sure, but I think it might be because they had the best offensive player in the league.
Whats the point of driving the same season over and over?	I guess to have the same car for each season.
How does the word literally help?	Literally means figuratively.
What the fuck did you just fucking say about me, you little bitch?	You're the one that said that I was the best, not you.
Whats a solid upper-mid quad core from team red?	That's what I use.
What do you think happens to those poorly taught obese children?	They die.
How does a tax-adjusted cap help the players?	It doesn't, it's just a bonus in the sense that you can't have more than 2 players on your team.
Whats wrong with one person contributing more?	I think the point is that there are many people who contribute more, but the average person doesn't contribute more than 50 of the time.
What is at the core of our state really?	I think it's a lot more than a core.
How about absolutely, irretrievably denying someone access to their commander?	I think that's a better idea.
How many owners would be willing to take on Rudy Gays salary?	I would take his salary.
However, if that situation played out the Spurs core would be Kawhi, Aldridge, Corey Joseph after Parker/Manu/Duncan retire(d)?	I think Parker would have to retire.
Who feels patriotic just because a single individual could run fastest?	I'm pretty sure it was more that he was patriotic because he was the fastest man there.
How have you been peer pressured into giving into their cause?	I've been trying to get into it for a while. They're pretty awesome.
How is the depth chart looking at those positions?	Looks good to me.
When I was considering the move my pastor said, oh a low income area, so what can you do for the community?	I have a friend in that area and he said the same thing.
What is the points of being fiancees if youre not actually getting married?	If you have a wife, you are not married.
What about the health of his children?	They are in great health.
How does their potential down the road have anything to do with their caliber right now?	Because they have a great record of getting to the postseason?
How big is the Indian/Pakistani immigrant in your neck of the woods?	I'm not an immigrant, I'm a citizen.
How long have you been using tampons?	For a few years now.
When *wasnt* American society polarized, though?	When was the last time you were in a meeting?
What would you say was the most valuable lesson you learned during your service?	Not being a bad person.
How much is a Nexus 7 or 10 again?	Around 250 300. I've had my N7 for over a year now and it still works.
Who were the two all-stars LeBron was playing with in 2007?	I think it was the Lakers.
What is so fucking hard to understand about the enemy of my enemy is my friend?	I'm not your friend, buddy.
Whats the value added to the team if its loaded with studs and you go 15-1?	The team gets a bonus 1 to the team strength.
What if I told you something like the Avengers or Interstellar or Gravity were actually 3D animated movies, with humans composited in?	That could be a good idea. Maybe even just a 3D animated film with a human or two.
How often has Houston had a stacked team?	The last two years.
Whens the last time that happened to a cyclist?	When was the last time a cyclist got run over?
What types of contracts require licenses prior to entry, again?	This is my first year doing it, so I haven't heard that yet.
What was your relationship like before the drinking?	Not too much, but I was with a friend who was an alcoholic for a bit.
What does that even have to do with anything?	I think he's making a joke about the fact that this is a thing.
How do you have energy to do four chest/tri exercises in a row?	I think you can do it by using a barbell.
What should we as a society do with parents like mine?	I dunno. Ask your mother.
Whats your hangup about period sex?	I think he is referring to the fact that the article was written in the same language as the article title.
What is so fucking hard to understand about the enemy of my enemy is my friend?	That's exactly what I said when I saw this.
Whats a solid upper-mid quad core from team red?	I'll PM you!
What would be accomplished by asking the parents?	I was wondering the same thing. They would need to be in the room for it to work
What city has 22 acres of open space just sitting around?	Not a city, a country.
whats your plan for the dog when you move out of your parents house?	I think we're going to try to get him a job or something.
What was the capitol of Palestine before Jewish immigration?	It was Constantinople.
What kind of computer are you using?	I have an HP Z2 and the game runs great on max settings
When did I say that shes a man?	I think the guy you replied to was talking about the woman.
How is maybe tampering and not turning over a cell phone rounded up to a 1st round pick, a 4th round pick, a $1m fine, and a 4 game suspension for a player appropriate?	He's not talking about him, he's talking about the ref.
What are you so nervous about?	I think he's talking about the game.
What do you tell a child in that circumstance?	I'm not really sure... I don't want to hurt my child
What is inconsistent about Bens season last year?	He's inconsistent with the team.
How long ago did you two start dating?	We started dating a year and a half ago.
When I go back, should I deload by 10% and go back up - so basically 32.5kg, 42.5kg, 70kg, and 80kg, or try again from the numbers above?	Why not try again from the numbers above?
What MR are you right now?	I'm MR4.
What the fuck was wrong with me?	You were a child, and your parents were a child.
When you did dietary restrictions how long did you do them?	I'm doing them now. I did them for a few months. I think they were around 4 weeks.
What are you, in high school?	I wish I was in high school
How do you both divide up middle of the night feedings and changing?	My mom is a nurse and my dad is a nurse.
What bank on earth doesnt show all transactions?	I've never seen it.
Who are you to tell me that I have a problem?	You're not a real man.
Whats so special about the time between the formation lap and the start?	It's a lap of the track, and the time is between the formation lap and the start lap.
What are you referring to exactly?	I think he means the''...''...''.............?
How can you be so inconsiderate??	I'm sorry. But the question is...
How would you tip someone in that job?	Just don't.
What kind of work are you doing now?	I'm a computer engineer.
How did India decide that their companies could cut 97 percent of the price?	They are not that stupid, that's why they have such cheap food.
Whats your realistic dream car OP?	An e30 M3
What is this, fucking Star Wars?	It's from the new Star Wars movie!
How well can Dwight Powell and Satnam Singh perform if Dirk/Zaza need rest?	I think Powell can play
What screams privilege more than a bunch of white rich kids with no clue about anything outside the borders of the USA that that?	I don't think that's what she was implying.
What the fuck did you just fucking say about me, you little bitch?	I love when he says that.
When hes just relaxing and watching tv, guess what?	I'm going to go out on a limb and assume you're a guy.
What is so bad about it?	Its a joke. He's saying that if you're not using the word'', you're not using it right.
When was the last time you drew your whole deck against a Warlock?	This is my first time.
How about loaning us a bit of the playoffs mojo, and well loan you a few of our fans and less-boring hockey?	I can't even imagine what a few of us would do if the Leafs win the cup.
What do you really love to remember from ME3?	The music and dialogue.
Whats going to happen if bitcoin or gold ever went way up in price?	It'll be like the housing market crash of 2000.
Whats the next large expense shes unwilling to compromise on?	The next large expense she's unwilling to compromise on is the next large expense she's unwilling to compromise on.
What about the social contract of the matches the site gives you?	What do you mean by the social contract? I don't know what that means, but I'll look it up.
Whats going to happen if bitcoin or gold ever went way up in price?	We'll all be rich!
What makes you think the majority of German people cared enough about the Jews to save them?	I don't think they cared enough about them to be saved.
What would that bring to him?	I'm not sure, I've never heard of him.
How has LA fallen off a cliff?	I think he was referring to the fact that the Raiders are now the LA Rams.
When did the Bears become a franchise that went under peoples radar?	I think they were under people's radar a few years ago, before Rodgers got injured.
What did you find was most effective for leveling up quickly?	I found that the most effective way to level up is to use your abilities in the right order.
What does that word actually mean to you?	It's a phrase for people who are really good at sports.
How do you know how those 10 people impacted the world?	They don't matter to me.
What is so offensive about that?	I don't think you know what's offensive about that.
What types of contracts require licenses prior to entry, again?	I think you mean for the first year or so. I was in the beginning. I don't think you need to be licensed for a year or so.
How do you think the pacers managed to be top 10 in defense last year with so many people missing?	I believe he means the Warriors.
Whats going on with the training or Police in Minnesota?	What do you mean? What are you asking?
how often have you seen a girl legit not read a text?	Not that much
What do you all think was the point of that scene?	I thought it was to show a bit of humanity and not to show how evil or evil people can be, I guess the latter.
How does the loudness of an F1 car at Indy compare to an Indy car at Indy?	I would say the loudness is a bit more on the nose of the car, so the Indycar has more of a feel.
What the fuck are you lmaoing about?	I think he's saying he's the same height as the guy on the left.
What more could you ask for in terms of support?	I have no idea, but I'd like it to be a little less than a year.
Who was charged as a result of those investigations?	The police
Who are we to exactly judge what is a big deal?	The people who want to know what's a big deal?
